DL,DP,HE,HK,HL,PU,SE,SL,WEIGHT,MOTORIZED_PIECES_COUNT,TOTAL_VOLUME_CUBIC_FOOT,HAZMAT_FLAG,FREEZABLE_FLAG,NODE_VISIT_CNT,dock_availability_indicator,forklift_availability_indicator,customer_location_type,DWELL_TIME
1,0,0,0,0,0,0,0,2900,1,549.84,FALSE,FALSE,17,Y,Y,Distribution Center,43.116667
0,0,0,0,0,5,0,0,7531,8,585.52,FALSE,FALSE,131,Y,Y,Distribution Center,55.783333
1,0,0,0,0,0,0,0,1642,1,189.23,FALSE,FALSE,71,N,Y,Business/Commercial,38.016667
1,0,0,0,0,0,0,0,1060,2,151.72,FALSE,FALSE,14,N,Y,Business/Commercial,34.733333
0,0,0,0,0,1,0,0,300,0,434.2,FALSE,FALSE,16,N,N,Business/Commercial,24.5
0,0,0,0,0,2,0,0,2068,3,543.33,FALSE,FALSE,109,Y,Y,Business/Commercial,29.333333
0,0,0,0,0,1,0,0,1180,1,65.86,FALSE,FALSE,85,N,Y,Business/Commercial,35.5
2,0,0,0,0,0,0,0,1598,3,588.9,FALSE,FALSE,103,Y,Y,Distribution Center,62.083333
0,0,0,0,0,2,0,0,1862,0,585.43,FALSE,FALSE,134,Y,Y,Distribution Center,56.783333
1,0,0,0,0,0,0,0,428,1,420.66,FALSE,FALSE,28,N,Y,Business/Commercial,39.066667
1,0,0,0,0,0,0,0,1234,1,399.51,FALSE,FALSE,80,Y,Y,Business/Commercial,38.116667
3,0,0,0,0,0,0,0,2947,4,414.21,FALSE,FALSE,121,Y,Y,Business/Commercial,20.966667
1,0,0,0,0,0,0,0,489,1,162.55,FALSE,FALSE,46,N,N,Business/Commercial,48.266667
1,0,0,0,0,0,0,0,509,1,405.56,FALSE,FALSE,22,Y,N,Business/Commercial,31.783333
1,0,0,0,0,0,0,0,1261,2,422.22,FALSE,FALSE,28,Y,N,Business/Commercial,32.633333
0,0,0,0,0,1,0,0,1355,1,467.01,FALSE,FALSE,27,N,Y,Business/Commercial,70.716667
1,0,0,0,0,0,0,0,1376,1,106.81,FALSE,FALSE,13,N,Y,Business/Commercial,37.966667
1,0,0,0,0,0,0,0,445,1,309.44,FALSE,FALSE,17,N,N,Government Sites: Prison/Correction Facility,36.016667
1,0,0,0,0,0,0,0,267,1,290.89,FALSE,FALSE,21,N,Y,Business/Commercial,16.566667
1,0,0,0,0,0,0,0,523,1,247.97,FALSE,FALSE,20,Y,Y,Business/Commercial,23.333333
1,0,0,0,0,0,0,0,892,1,91.18,FALSE,FALSE,26,N,Y,Distribution Center,13.433333
0,0,0,0,0,1,0,0,1543,1,237.97,FALSE,FALSE,19,Y,Y,Business/Commercial,18.183333
3,0,0,0,0,0,0,0,3650,6,590.2,FALSE,FALSE,109,Y,Y,Business/Commercial,45.966667
1,0,0,0,0,0,0,0,62,1,358,FALSE,FALSE,45,Y,Y,Business/Commercial,28.016667
1,0,0,0,0,0,0,0,3196,2,368.66,FALSE,FALSE,28,Y,N,Business/Commercial,32.416667
0,0,0,0,0,2,0,0,1023,3,495.26,FALSE,FALSE,103,Y,Y,Distribution Center,38.8
1,0,0,0,0,0,0,0,1150,1,193.31,FALSE,FALSE,9,N,Y,Business/Commercial,46.383333
1,0,0,0,0,0,0,0,5574,2,275.32,FALSE,FALSE,14,N,Y,Business/Commercial,37.15
1,0,0,0,0,0,0,0,929,1,129,FALSE,FALSE,9,Y,N,"Residential: School (K-12), Pre-School, Day Care",23.066667
1,0,0,0,0,0,0,0,1453,1,178,FALSE,FALSE,23,Y,Y,Business/Commercial,30.85
2,0,0,0,0,0,0,0,3724,6,577.32,FALSE,FALSE,66,Y,Y,Government Sites: Military,84.7
1,0,0,0,0,0,0,0,997,1,465.33,FALSE,FALSE,74,N,Y,Business/Commercial,20.266667
0,0,0,0,0,1,0,0,1103,1,361.44,FALSE,FALSE,160,Y,Y,Business/Commercial,24.466667
1,0,0,0,0,0,0,0,1757,1,77.87,FALSE,FALSE,20,Y,Y,Business/Commercial,20.383333
